Name,Agent1,Agent2,Total Rounds,Weighted KPR,Weighted KAST,Weighted FKPR,Weighted FDPR,Odds Difference,Average Opposing KPR,Average Opposing KAST,Average Opposing FKPR,Average Opposing FDPR,Recent Kill Average,Actual Kills
keznit,18,12,208,0.9177884615384617,72.58173076923077,0.2049038461538462,0.15091346153846155,0.6244539844378858,0.6132826086956522,64.5641304347826,0.07642391304347826,0.12654347826086956,40.666666666666664,47
heat,13,21,172,0.8733720930232558,75.24418604651163,0.07267441860465117,0.08488372093023257,0.6244539844378858,0.6132826086956522,64.5641304347826,0.07642391304347826,0.12654347826086956,34.666666666666664,42
melser,16,23,251,0.6613147410358566,73.69721115537848,0.08434262948207172,0.07302788844621513,0.6244539844378858,0.6132826086956522,64.5641304347826,0.07642391304347826,0.12654347826086956,27.333333333333332,28
shyy,6,14,209,0.6399999999999999,75.97607655502392,0.04511961722488038,0.060717703349282295,0.6244539844378858,0.6132826086956522,64.5641304347826,0.07642391304347826,0.12654347826086956,23.333333333333332,23
klaus,22,9,130,0.5867692307692308,76.98461538461538,0.09015384615384615,0.0833076923076923,0.6244539844378858,0.6132826086956522,64.5641304347826,0.07642391304347826,0.12654347826086956,28.333333333333332,20
mako,23,16,245,0.8194693877551019,77.82448979591837,0.11122448979591837,0.09,5.146164079822616,0.8194693877551019,77.82448979591837,0.11122448979591837,0.09,35.0,34
foxy9,6,14,245,0.7033877551020408,75.33877551020409,0.0730612244897959,0.08322448979591837,5.146164079822616,0.7614285714285713,76.58163265306123,0.09214285714285714,0.08661224489795918,29.333333333333332,36
buzz,18,12,245,0.856938775510204,78.00816326530612,0.2067755102040816,0.1733469387755102,5.146164079822616,0.7932653061224489,77.05714285714286,0.13035374149659862,0.11552380952380951,35.333333333333336,35
beyn,16,3,163,0.7671165644171779,84.78527607361963,0.07392638036809816,0.03785276073619632,5.146164079822616,0.7806326530612244,79.01122448979592,0.1120816326530612,0.1000408163265306,28.0,23
stax,13,8,168,0.5617261904761905,76.91071428571429,0.05,0.08,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,25.0,20
russ,13,9,200,0.71815,71.635,0.08455,0.09820000000000001,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,30.666666666666668,33
polvi,12,18,285,0.7352280701754386,70.03508771929825,0.18778947368421056,0.17964912280701756,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,32.0,25
lightningfast,16,20,276,0.7044927536231884,71.34057971014492,0.08637681159420289,0.08681159420289855,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,31.333333333333332,25
benkai,14,6,288,0.6002083333333332,70.17013888888889,0.06149305555555556,0.06340277777777777,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,25.333333333333332,23
blazek1ng,23,22,285,0.6553684210526316,71.6280701754386,0.11140350877192982,0.06140350877192982,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,24.0,16
fl1pzjder,23,9,162,0.4535185185185185,65.37654320987654,0.08,0.10623456790123458,0.20698324022346326,0.53827868852459,65.87704918032787,0.08176229508196722,0.12045081967213114,18.666666666666668,31
xffero,14,6,244,0.7099180327868851,69.99180327868852,0.09663934426229508,0.07344262295081969,0.20698324022346326,0.6240983606557375,67.9344262295082,0.08920081967213114,0.09694672131147541,31.0,32
lmemore,22,8,202,0.7784158415841584,66.04455445544555,0.1116831683168317,0.09415841584158416,0.20698324022346326,0.6784972677595628,67.76092896174863,0.0943032786885246,0.10036885245901639,34.333333333333336,27
estrella,16,23,204,0.5403431372549019,74.40686274509804,0.05220588235294118,0.06593137254901961,0.20698324022346326,0.6439587351333975,69.422412407586,0.08377892960462874,0.09175948248151719,19.333333333333332,20
jemkin,12,18,244,0.8493032786885245,74.75819672131148,0.13311475409836068,0.15758196721311477,0.20698324022346326,0.6850276438444229,70.48956927033109,0.09364609450337513,0.10492397942783671,30.666666666666668,35
borkum,16,23,338,0.6724260355029587,73.18934911242603,0.07837278106508876,0.057840236686390545,0.20698324022346326,0.6850276438444229,70.48956927033109,0.09364609450337513,0.10492397942783671,30.0,32
ndg,6,14,338,0.6722485207100591,69.88757396449704,0.09218934911242604,0.05887573964497042,0.20698324022346326,0.6850276438444229,70.48956927033109,0.09364609450337513,0.10492397942783671,28.0,29
jremy,18,12,338,0.8292011834319526,75.5680473372781,0.24189349112426037,0.2397337278106509,0.20698324022346326,0.6850276438444229,70.48956927033109,0.09364609450337513,0.10492397942783671,38.666666666666664,39
invy,13,2,238,0.7233193277310924,80.69747899159664,0.05302521008403362,0.04878151260504202,0.20698324022346326,0.6850276438444229,70.48956927033109,0.09364609450337513,0.10492397942783671,32.333333333333336,28
jessievash,22,8,298,0.7018791946308723,72.38255033557047,0.06993288590604027,0.0540268456375839,0.20698324022346326,0.6850276438444229,70.48956927033109,0.09364609450337513,0.10492397942783671,26.0,24
cryocells,12,1,127,0.9610236220472441,76.5984251968504,0.19433070866141733,0.10196850393700788,1.7198582816651913,0.895079365079365,75.76719576719577,0.14613756613756615,0.07825396825396826,38.0,40
bang,23,16,189,0.7777777777777778,79.85714285714286,0.09206349206349206,0.07761904761904762,1.7198582816651913,0.8364285714285714,77.81216931216932,0.1191005291005291,0.07793650793650794,32.0,29
eeiu,8,22,189,0.7008994708994709,75.45502645502646,0.05544973544973545,0.03820105820105821,1.7198582816651913,0.7912522045855379,77.02645502645503,0.09788359788359789,0.06469135802469136,27.666666666666668,21
asuna,18,13,166,0.7078313253012049,71.59036144578313,0.1556024096385542,0.19373493975903616,1.7198582816651913,0.7634656084656085,75.3452380952381,0.11031746031746031,0.09227513227513229,31.333333333333332,27
boostio,9,6,147,0.4870068027210885,68.80952380952381,0.05503401360544219,0.11700680272108843,1.7198582816651913,0.7065291005291006,73.73544973544975,0.10214814814814814,0.09735449735449736,19.0,10
sacy,21,9,489,0.6149488752556237,71.03067484662577,0.07020449897750511,0.09494887525562373,1.7198582816651913,0.7065291005291006,73.73544973544975,0.10214814814814814,0.09735449735449736,28.666666666666668,36
johnqt,23,6,730,0.7075068493150685,77.62465753424658,0.07126027397260273,0.05,1.7198582816651913,0.7065291005291006,73.73544973544975,0.10214814814814814,0.09735449735449736,31.333333333333332,30
tenz,16,13,655,0.7501526717557252,77.26564885496184,0.09203053435114504,0.08796946564885497,1.7198582816651913,0.7065291005291006,73.73544973544975,0.10214814814814814,0.09735449735449736,33.333333333333336,29
zellsis,14,23,510,0.6499411764705882,71.33725490196079,0.07005882352941177,0.09,1.7198582816651913,0.7065291005291006,73.73544973544975,0.10214814814814814,0.09735449735449736,30.666666666666668,27
zekken,18,12,770,0.8549870129870131,72.33246753246753,0.22,0.1738961038961039,1.7198582816651913,0.7065291005291006,73.73544973544975,0.10214814814814814,0.09735449735449736,38.333333333333336,34
nature,23,2,199,0.6419095477386934,68.46733668341709,0.03658291457286432,0.06582914572864322,0.1257031089149685,0.6847142857142857,68.61428571428571,0.05474999999999999,0.06460714285714286,30.0,38
derrek,8,22,239,0.6776150627615063,67.85355648535565,0.04715481171548117,0.03238493723849373,0.1257031089149685,0.6706785714285715,68.1,0.05103571428571428,0.05341071428571429,24.0,20
apoth,6,3,223,0.6522869955156951,63.860986547085204,0.11600896860986548,0.1610762331838565,0.1257031089149685,0.647702380952381,65.81190476190476,0.07210714285714286,0.08700000000000001,19.666666666666668,16
supamen,16,23,280,0.6455714285714287,68.45714285714286,0.10992857142857143,0.11557142857142857,0.1257031089149685,0.647169642857143,66.47321428571428,0.0815625,0.09414285714285714,25.0,19
jawgemo,18,12,280,0.7320357142857142,63.017857142857146,0.16389285714285715,0.14185714285714285,0.1257031089149685,0.6641428571428573,65.78214285714286,0.09802857142857142,0.1036857142857143,23.333333333333332,17
jonahp,23,13,175,0.7535428571428572,77.25714285714285,0.09,0.052457142857142855,0.1257031089149685,0.6641428571428573,65.78214285714286,0.09802857142857142,0.1036857142857143,27.666666666666668,33
valyn,16,10,174,0.723103448275862,73.96551724137932,0.09862068965517241,0.10241379310344828,0.1257031089149685,0.6641428571428573,65.78214285714286,0.09802857142857142,0.1036857142857143,29.0,39
trent,22,8,175,0.7275999999999999,77.38857142857142,0.08611428571428571,0.08851428571428573,0.1257031089149685,0.6641428571428573,65.78214285714286,0.09802857142857142,0.1036857142857143,33.0,33
leaf,14,6,174,0.8617241379310344,75.70114942528735,0.11160919540229886,0.08839080459770116,0.1257031089149685,0.6641428571428573,65.78214285714286,0.09802857142857142,0.1036857142857143,30.666666666666668,32
icy,18,9,171,0.6294736842105264,72.19298245614036,0.1529824561403509,0.15368421052631578,0.1257031089149685,0.6641428571428573,65.78214285714286,0.09802857142857142,0.1036857142857143,22.333333333333332,17
jinggg,18,20,233,0.7400000000000001,76.16309012875537,0.09197424892703862,0.11394849785407724,2.527194329592441,0.7400000000000001,76.16309012875537,0.09197424892703862,0.11394849785407724,32.666666666666664,40
something,12,9,528,0.7656818181818181,72.56818181818181,0.16287878787878787,0.11575757575757575,2.527194329592441,0.7519115191986645,74.39122786905214,0.12607059691760947,0.11391915710733912,34.666666666666664,38
mindfreak,23,16,490,0.6402857142857143,68.86530612244898,0.04,0.08567346938775511,2.527194329592441,0.7189315525876462,73.34596048254005,0.09798696444479472,0.10294666122125334,33.0,30
d4v41,21,20,363,0.6653994490358127,75.69972451790633,0.07079889807162534,0.04349862258953168,2.527194329592441,0.7101836393989984,73.43058889278984,0.09256367909319538,0.08875006269390329,31.666666666666668,36
f0rsaken,13,6,286,0.7063636363636364,69.2867132867133,0.09762237762237763,0.13825174825174824,2.527194329592441,0.7184140233722872,73.280698159307,0.09630469953499037,0.09395831392807755,36.666666666666664,42
xccurate,10,4,222,0.7632432432432432,73.94594594594595,0.08891891891891893,0.07513513513513513,2.527194329592441,0.7184140233722872,73.280698159307,0.09630469953499037,0.09395831392807755,27.666666666666668,39
sayaplayer,18,12,305,0.7907540983606558,73.77377049180328,0.19268852459016392,0.14075409836065575,2.527194329592441,0.7184140233722872,73.280698159307,0.09630469953499037,0.09395831392807755,33.666666666666664,35
rossy,23,13,305,0.6666885245901638,74.04262295081968,0.081672131147541,0.06708196721311475,2.527194329592441,0.7184140233722872,73.280698159307,0.09630469953499037,0.09395831392807755,24.0,30
izu,16,21,265,0.6476226415094339,72.43396226415095,0.10743396226415096,0.10052830188679246,2.527194329592441,0.7184140233722872,73.280698159307,0.09630469953499037,0.09395831392807755,29.333333333333332,24
carpe,9,8,223,0.6042152466367713,68.9372197309417,0.0757847533632287,0.10062780269058295,2.527194329592441,0.7184140233722872,73.280698159307,0.09630469953499037,0.09395831392807755,28.0,36
sscary,16,3,240,0.8101666666666667,77.74583333333334,0.09254166666666667,0.06508333333333334,0.9071770334928224,0.6745906649197511,69.49114968883066,0.10273930560104816,0.09497219128725844,31.0,37
deryeon,13,14,196,0.6295918367346939,74.28571428571429,0.0836734693877551,0.08816326530612245,0.9071770334928224,0.6745906649197511,69.49114968883066,0.10273930560104816,0.09497219128725844,25.0,24
yay,18,12,277,0.6410830324909746,67.67870036101083,0.1767870036101083,0.23303249097472922,0.9071770334928224,0.6745906649197511,69.49114968883066,0.10273930560104816,0.09497219128725844,27.0,35
retla,23,14,235,0.5680000000000001,72.2,0.047999999999999994,0.074,0.9071770334928224,0.6745906649197511,69.49114968883066,0.10273930560104816,0.09497219128725844,23.666666666666668,24
zest,8,9,159,0.5046540880503145,69.0251572327044,0.03,0.08484276729559748,0.9071770334928224,0.6745906649197511,69.49114968883066,0.10273930560104816,0.09497219128725844,23.0,19
less,23,6,534,0.7382022471910112,74.89138576779027,0.07254681647940076,0.079812734082397,1.0696324143692573,0.7382022471910112,74.89138576779027,0.07254681647940076,0.079812734082397,33.0,36
tuyz,16,10,421,0.6388836104513065,68.60332541567696,0.0539667458432304,0.06491686460807601,1.0696324143692573,0.7049531835205993,72.93258426966293,0.059868913857677904,0.06804307116104868,22.0,24
cauanzin,2,22,447,0.7303355704697986,72.8993288590604,0.09033557046979866,0.09516778523489933,1.0696324143692573,0.7113171036204745,73.2059925093633,0.07260923845193508,0.07573657927590512,23.0,21
saadhak,13,14,279,0.662831541218638,72.3584229390681,0.11089605734767025,0.12455197132616487,1.0696324143692573,0.6892322097378278,72.43773408239701,0.07743913857677903,0.08817883895131086,25.0,22
quick,12,17,396,0.7527272727272728,65.27272727272727,0.17636363636363636,0.1672727272727273,1.0696324143692573,0.6965992509363297,70.88501872659177,0.0943558052434457,0.10463295880149812,23.666666666666668,23
